id,name_id,display_name,category,stack_max,texture,description,inspect_text
1,branch,树枝,"RESOURCE, TOOL, EQUIP, BUILDING, CONSUMABLE, SPECIAL",60,res/textures/branch.png,一根普通的树枝。,干巴巴的，但能派上用场。
2,plant fiber,植物纤维,"RESOURCE",60,res/textures/plant_fiber.png,一种常见的材料。,可以用来干点什么。
3,stone,石头,"RESOURCE",60,res/textures/stone.png,一块普通的石头。,沉甸甸的。
4,scrap,废料,"RESOURCE",60,res/textures/scrap.png,前人们的馈赠。,可以回收再利用。
5,wood,木头,"RESOURCE",60,res/textures/wood.png,一块结实的木料。,好熟悉的感觉。
6,pinecone,松塔 ,"RESOURCE",60,res/textures/pinecone.png,裸子植物的种子。,松鼠的最爱，富含大量油脂。
7,ginkgo seed, 银杏种子,"RESOURCE",60,res/textures/ginkgo_seed.png,银杏树的种子。,额，这味道让我有点反胃。
8,bone,兽骨,"RESOURCE",60,res/textures/bone.png,一块兽骨。,真硬啊。
9,feather,羽毛,"RESOURCE",60,res/textures/feather.png,一根羽毛。,轻飘飘的。
10,fiddlehead,蕨类嫩芽,"RESOURCE",60,res/textures/fiddlehead.png,蕨类植物的嫩芽。,之前我们都叫它应急食品。
11,cycad seed,苏铁种子,"RESOURCE",60,res/textures/cycad_seed.png,苏铁的种子。,我可不敢尝试。
12,taxus seed,红豆杉种子,"RESOURCE",60,res/textures/taxus_seed.png,红豆杉的种子。,诱人的外表也无法掩盖致命的内核。
13,cycad frond,苏铁叶,"RESOURCE",60,res/textures/cycad_frond.png,苏铁的叶子。,我在我原来的公寓里也养了一盆。
14,resin,树脂,"RESOURCE",60,res/textures/resin.png,树木分泌的树脂。,黏糊糊的昆虫地狱。
15,araucaria seed,南洋杉种子,"RESOURCE",10,res/textures/araucaria_seed.png,从天而降的惊喜。,被它砸中也是一种幸运不是吗。
16,araucaria nut,南洋杉坚果,"RESOURCE",60,res/textures/araucaria_nut.png,可食用的坚果。,烤熟了相当不错。
17,Gigantoraptor egg,巨盗龙蛋,"RESOURCE",1,res/textures/Gigantoraptor_egg.png,巨盗龙的蛋。,孵化或者做成晚餐。
18,mushroom,蘑菇,"RESOURCE",60,res/textures/mushroom.png,树荫下常见的真菌。,吃完后见到的是小人还是上帝？
19,wood ear,木耳,"RESOURCE",60,res/textures/wood_ear.png,一种常见的食用菌。,口感不错。
20,decay,腐烂物,"RESOURCE",60,res/textures/decay.png,腐烂的食物。,好恶心。
21,dung,粪便,"RESOURCE",60,res/textures/dung.png,动物的排泄物。,我的农作物会很高兴的。
22,Velociraptor claw,迅猛龙爪,"RESOURCE",30,res/textures/Velociraptor_claw.png,迅猛龙的爪子。,小巧而要命。
23,pterosaur patagium,翼龙翼膜,"RESOURCE",30,res/textures/pterosaur_patagium.png,翼龙的翼膜。,轻薄而坚韧。
24,Velociraptor egg,迅猛龙蛋,"RESOURCE",1,res/textures/Velociraptor_egg.png,迅猛龙的蛋。,烦人小家伙们的蛋。
25,tar,焦油,"RESOURCE",60,res/textures/tar.png,来自地下的暗黑大手。,这个我熟，我在拉布雷亚看过。
26,copper ore,铜矿石,"RESOURCE",60,res/textures/copper_ore.png,一种常见的金属矿石。,大有用处。
27,electronic component,电子元件,"RESOURCE",60,res/textures/electronic_component.png,电子设备的核心。,能先进点了。
28,Thunder Crown,雷鸣头冠,"RESOURCE",10,res/textures/Thunder_Crown.png,雷神翼龙的头冠。,蕴含着恐怖的力量。
29,cooked Araucaria nut,烤南洋杉坚果,"CONSUMABLE",60,res/textures/Cooked_Araucaria_Nut.png,烤熟的南洋杉坚果。,香极了。
30,fungal soup,菌菇汤,"CONSUMABLE",20,res/textures/fungal_soup.png,用蘑菇和木耳做成的汤。,堪比肉汤。
31,grilled fern frond skewers,蕨类嫩芽烤串,"CONSUMABLE",20,res/textures/grilled_fern_frond_skewers.png,用蕨类嫩芽做成的烤串。,至少比生吃强。
32,glass,玻璃,"RESOURCE",60,res/textures/glass.png,透明又坚硬的材料。,要把它做成刀吗？
33,red bean pie,红豆派,"CONSUMABLE",20,res/textures/red_bean_pie.png,是不是看起来很诱人。,在这地狱中少数能让我感到欣慰的东西。
34,starch chunk,淀粉块,"RESOURCE",60,res/textures/starch_chunk.png,来自于苏铁的宝贵淀粉。,哦，神圣的碳水。
35,Spinosaurus tooth,棘龙牙齿,"RESOURCE",60,res/textures/Spinosaurus_tooth.png,棘龙的牙齿。,合格渔夫的证明。
36,lungfish,肺鱼,"RESOURCE",30,res/textures/lungfish.png,一种古老的鱼类。,从海洋到陆地的证明！
37,lamprey,七鳃鳗,"RESOURCE",30,res/textures/lamprey.png,令人惧怕的小东西。,我不想再看到它们了！
38,lamprey pie,七鳃鳗派,"CONSUMABLE",20,res/textures/lamprey_pie.png,用七鳃鳗做成的美食。,吃它的时候我真希望我是盲人。
39,cooked lamprey,烤七鳃鳗,"CONSUMABLE",20,res/textures/cooked_lamprey.png,烤熟的七鳃鳗。,啊哦。
40,cooked lungfish,烤肺鱼,"CONSUMABLE",20,res/textures/cooked_lungfish.png,烤熟的肺鱼。,它看起来像在尖叫。
41,roasted pine nuts,烤松子,"CONSUMABLE",60,res/textures/roasted_pine_nuts.png,烤熟的松子。,诱人的油脂香味配上松针香气，绝了。
42,sago,西米,"CONSUMABLE",60,res/textures/sago_pudding.png,淀粉团子们。,好黏糊。
43,sago pudding,西米露,"CONSUMABLE",20,res/textures/sago_pudding.png,用西米做成的布丁。,喝碗这个真是惬意。
44,roasted ginkgo nuts,烤银杏果,"CONSUMABLE",60,res/textures/roasted_ginkgo_seeds.png,烤熟的银杏种子。,看起来很像开心果。
45,ginkgo nut tofu,银杏豆腐,"CONSUMABLE",20,res/textures/ginkgo_nut_tofu.png,用银杏果仁做成的块状固体。,口感很奇怪。
46,stuffed lungfish,填馅肺鱼,"CONSUMABLE",20,res/textures/stuffed_lungfish.png,用肺鱼做成的美食。,它不能呼吸了，但我可以。
